2019/05/01 19:05:33 Initiating coarse search
2019/05/01 19:05:33 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:05:33 Seeds: [7 7]
2019/05/01 19:05:33 open /home/sindreno/go/src/github.com/PolymerGuy/tinyOpt/_ABQSim/inputfile.txt: no such file or directory
2019/05/01 19:06:18 Initiating coarse search
2019/05/01 19:06:18 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 19:06:18 Seeds: [7 7]
2019/05/01 19:11:17 gL3a3vJm2rEvsEoz2xPfFY [6.99179687499998 3.7140624999999976] 0.004588495882258136
2019/05/01 19:11:17 JwpGLxQnqbTq2VTYHjc3xY [6.971484374999982 3.7203124999999977] 0.022142608795787822
2019/05/01 19:11:17 KAVta72LutADWhL7QnyM6c [7.006933593749981 3.686328124999998] 0.0036221821807026888
2019/05/01 19:11:17 tTdZTBKqGGe5qPtS33Kmqi [7.00029296874998 3.7191406249999988] 0.006490591668353545
2019/05/01 19:11:17 hfjsukuNakPYXtu2TFxf7j [6.99982910156248 3.7096679687499985] 0.003011262224333878
2019/05/01 19:11:17 zHEBUs2JuDRjZfDCvRGkMi [7.014965820312482 3.6819335937499997] 0.009849564173185535
2019/05/01 19:11:17 H2BWEnS9fUktFYXpAzQDqM [6.9975891113281055 3.706030273437498] 0.0011683058538327876
2019/05/01 19:11:17 DA948zohrzbQDFf8SjLxyY [6.990484619140606 3.7293701171874996] 0.004872527392862942
2019/05/01 19:11:17 CKAgEdG7vQbZFYcT3QLLnC [7.002821350097637 3.6970886230468736] 0.001969617729052984
2019/05/01 19:11:17 2hjGce3Xf9q3h7HnkifYoF [7.000581359863264 3.6934509277343737] 0.001672005702651777
2019/05/01 19:11:18 qKCuswXj7MmnBfwrbZKLgQ [6.995349121093735 3.7023925781249982] 0.0038511428849368817
2019/05/01 19:11:18 J94mbAtGaEbfNNdsKbM5bF [7.000953292846662 3.6984146118164047] 0.0005413398592382084
2019/05/01 19:11:18 DZa4jDXaNKdy5vnR8ABReR [6.997961044311507 3.710993957519529] 0.002118116014362791
2019/05/01 19:11:18 CRygxkD8aoTsoXQwkgqDEk [6.999926280975325 3.6978366851806626] 0.0007685680632188821
2019/05/01 19:11:18 4cB72UqFqS8zZcAFN9uGQV [7.003290462493885 3.690221023559569] 0.001648998015129187
2019/05/01 19:11:18 UPH386yWeuAGbbDdZAvMjg [6.99901444911955 3.702077960968016] 0.0005000105111894841
2019/05/01 19:11:18 4ytVrpf9a2TtzEGuJdd7PA [7.000041460990891 3.702655887603758] 0.0009012853918153867
2019/05/01 19:11:18 eSNggkPoDwmvAoLUNJXKHC [6.999955075979217 3.699041485786436] 0.00035100503799798935
2019/05/01 19:11:18 eLjDuV84LQtLhmhHJg9TvY [6.998016232252111 3.702704834938047] 0.001239035599609608
2019/05/01 19:11:19 sLEhVqFqbH437QKBub7SYM [7.000219027698024 3.699487167596815] 0.00010721589387773707
2019/05/01 19:11:19 Fine search gave:
2019/05/01 22:10:52 Initiating coarse search
2019/05/01 22:10:52 BOUNDS: [5.1 9.2 2.3 4.1]
2019/05/01 22:10:52 Seeds: [7 7]
2019/05/01 22:10:52 NXx7E27xjM2Txzf8N765H [5.1 3.1999999999999993] 1.9896209895866974
2019/05/01 22:10:52 h5CV5nSt2x8jrxXUAB362c [5.1 2.3] 2.2584681302296303
2019/05/01 22:10:52 52YDqakiai4GoCTsD6tzBP [5.1 2.8999999999999995] 2.078358479093695
2019/05/01 22:10:52 qhQ3VrNyUbhQGQnnEXneK7 [5.1 2.5999999999999996] 2.1680105316295504
2019/05/01 22:10:53 Zu7z7HK4VYF7zHJYPirmST [5.1 3.799999999999999] 1.8154246877065612
2019/05/01 22:10:53 NtpZGDPi2T9iWj8nMzmGTb [5.1 4.099999999999999] 1.730295982470274
2019/05/01 22:10:53 zT99WqYgmkp8peU5pFMPmC [5.1 3.499999999999999] 1.9019260366133957
2019/05/01 22:10:53 VB4nSKLoMHcu8GCt7yU6GF [5.783333333333333 2.3] 1.5963695581777366
2019/05/01 22:10:53 FiWDMfwJfivHEPUCskTwHT [5.783333333333333 3.1999999999999993] 1.3250841730788343
2019/05/01 22:10:53 HwzBXmtcYHBBwWCEoYFAGg [5.783333333333333 2.5999999999999996] 1.5048932097383505
2019/05/01 22:10:53 m66ZmvNdKHzKTs7eq5ase4 [5.783333333333333 2.8999999999999995] 1.4143977080659451
2019/05/01 22:10:53 nMbW54YNmPfMbUbAxcpnP4 [5.783333333333333 3.499999999999999] 1.2372085273687048
2019/05/01 22:10:53 BNDsXLd4myHwbxKncKvmb4 [5.783333333333333 4.099999999999999] 1.0671868319621995
2019/05/01 22:10:53 UwS28BDQWuSyjREwURZFUn [6.466666666666667 2.5999999999999996] 0.8485427804086088
2019/05/01 22:10:53 9MbtoGk5zUMmA4YoH7WaiC [5.783333333333333 3.799999999999999] 1.1511001298068564
2019/05/01 22:10:53 T5cerXKysurWwHoh2bp74E [6.466666666666667 2.3] 0.9426482291205956
2019/05/01 22:10:53 m832XTBsr3JeE6sEEqER6j [6.466666666666667 2.8999999999999995] 0.7554942755993937
2019/05/01 22:10:53 DD5W8tiNYGEsprQQJyaXV8 [6.466666666666667 3.1999999999999993] 0.6639473341053167
2019/05/01 22:10:53 sn6Tk9CGgmrd8qxpnVFmfL [6.466666666666667 3.499999999999999] 0.5746199459462069
2019/05/01 22:10:53 sJtqy88bj5KwJ3AseqeCm6 [6.466666666666667 3.799999999999999] 0.48873060486628744
2019/05/01 22:10:53 xz8QaRTpdgpSLgo4AXKFQi [6.466666666666667 4.099999999999999] 0.4084540457793854
2019/05/01 22:10:53 iPP93DdoYiGS2b3Mo6Zffe [7.15 2.5999999999999996] 0.2435911213251749
2019/05/01 22:10:53 qwWwBsDkr98mHGCvHyZJJd [7.15 2.3] 0.3381399443777933
2019/05/01 22:10:53 ktDzNtM83iBG3jYgvjebC6 [7.15 2.8999999999999995] 0.153106167530494
2019/05/01 22:10:53 kMNfCjhwCLt5DDgS4zhnSa [7.15 3.499999999999999] 0.09471969760936687
2019/05/01 22:10:53 VZ47UisCaaFJyk3vCYxCmH [7.15 3.799999999999999] 0.17434805502114728
2019/05/01 22:10:53 QBUE4QbeeZdCM9uMo8nFcM [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 22:10:53 XSSXuWog6AFwpMxnDgwa4T [7.15 4.099999999999999] 0.26632598301481425
2019/05/01 22:10:53 Ax6oQkRwVtnjP6edqLnk4Z [7.833333333333334 2.3] 0.47385277250735697
2019/05/01 22:10:53 RF7tSimnC6GbSz5PwKjggc [7.833333333333334 2.5999999999999996] 0.5305869756996271
2019/05/01 22:10:53 jD7ET2pAuJUkcB4A3vtnRZ [7.833333333333334 2.8999999999999995] 0.5978430021405782
2019/05/01 22:10:53 9TvFkhhhuoEzRpDWD4cQgR [7.833333333333334 3.1999999999999993] 0.6724711044309368
2019/05/01 22:10:53 aGxeQ6v9d2WcBHKESozRmM [7.833333333333334 3.499999999999999] 0.752280579033197
2019/05/01 22:10:53 7GVKL2hrxpPcviSV5Ax9sG [8.516666666666667 2.3] 1.0999063963415978
2019/05/01 22:10:53 8WuhSYyMjwnNvamiG7nF8g [7.833333333333334 3.799999999999999] 0.8357884131781326
2019/05/01 22:10:53 egyeRXkBvi24CYvaZwgEw8 [7.833333333333334 4.099999999999999] 0.9219902049783263
2019/05/01 22:10:53 FMPHbLAhdsm7GLVinVrCrh [8.516666666666667 2.5999999999999996] 1.173544600359201
2019/05/01 22:10:53 j4GHYKCKF7NJpPpsKtiUVR [8.516666666666667 3.1999999999999993] 1.3297223117714096
2019/05/01 22:10:53 x7cSj4VeSfukBEedjuvVE4 [8.516666666666667 2.8999999999999995] 1.2503317257672961
2019/05/01 22:10:53 z79p2T7WvDwjxFs7mXoybi [8.516666666666667 3.499999999999999] 1.4112771072264692
2019/05/01 22:10:53 Coarse search gave:
2019/05/01 22:10:54 8RDdWPoQQPhhfG2uvmSTum [7.15 3.1999999999999993] 0.08156739421450215
2019/05/01 22:10:54 7SRSZMHMyG79ebPDLwACBb [7.2 3.1999999999999993] 0.09708242147627807
2019/05/01 22:10:54 GACo8SJQtCCaCS5tDJ6MN6 [7.15 3.249999999999999] 0.07558310015489705
2019/05/01 22:10:54 Mes2PzRTUtyq52zgtWdSjT [7.1000000000000005 3.249999999999999] 0.07925537643288627
2019/05/01 22:10:54 TDPCH247RB9Fuswr3zR3i8 [7.1 3.299999999999999] 0.06710027736234912
2019/05/01 22:10:54 QttDD3NtLXxoAKHo23sBsm [7.074999999999999 3.3499999999999988] 0.06272617640627721
2019/05/01 22:10:54 9vqFFH5FR8umWVSGMtA5AW [7.124999999999997 3.3499999999999988] 0.0612467564315972
2019/05/01 22:10:54 cDhFTNHrhwXVBQZhDUfYvX [7.137499999999996 3.3999999999999986] 0.06892321052486747
2019/05/01 22:10:54 GPrpNeKkYwKNs9qyHntB3Y [7.049999999999995 3.4499999999999984] 0.04636237626861461
